Tram,Descripció,Coordenades
231,Fabra i Puig (Tajo a Pl. Virrei Amat),"2.163907241933041,41.43128672256808,2.164272655129502,41.43103742213812,2.165081596556306,41.43070532143517,2.166027439924774,41.43046261675567,2.174474037960179,41.43027337599043"
232,Fabra i Puig (Pl. Virrei Amat a Tajo),"2.174462193352225,41.43033356245913,2.166058486526483,41.43052531616977,2.165084881687773,41.43077240624056,2.164342562908488,41.43107475837428,2.164002617663094,41.43132391535958"
233,Travessera de Dalt (Pl. Lesseps a Escorial),"2.150014270332292,41.40714187430313,2.149430702150115,41.40660044007992,2.150673987882641,41.40774166074332,2.150983800390909,41.40794658027869,2.151217429808501,41.4080644963091,2.154951659726685,41.40942649937512,2.155139395256767,41.4095282030983,2.157617023506551,41.4111908682025"
234,Travessera de Dalt (Escorial a Pl. Lesseps),"2.149297055032962,41.40663312617431,2.150560643831676,41.4077968523924,2.15114612196613,41.40815066139023,2.152277555924973,41.4085802998138,2.154826045190552,41.40949605303609,2.155190577336861,41.40971459187124,2.157531118737512,41.41125108458979"
235,Ronda Guinardó (Escorial a Túnel de la Rovira),"2.157622912155039,41.41117986190942,2.158750848234596,41.41190888733861,2.159041580558232,41.41207762840536,2.159463646906843,41.41222411918699,2.159965942228579,41.41235699650534,2.160636973092953,41.41244708628842,2.16167549649205,41.41246592276307,2.162440883996086,41.41233301532391,2.164135345884148,41.41182604624732,2.164621837978118,41.41171779085485,2.165064170340896,41.41174983962031,2.16662358753555,41.4120636402857,2.167522422274149,41.4123108420939,2.168192742907729,41.41251513677512"
236,Ronda Guinardó (Túnel de la Rovira a Escorial),"2.168017188339266,41.41262463208307,2.16663957301537,41.41221793883697,2.165624193073863,41.41201392975493,2.164944073988133,41.41190435327165,2.164523820302942,41.41187216796054,2.164313445981079,41.4119107019763,2.162393103290015,41.41246055170547,2.161930250426418,41.41253383702986,2.16135578052455,41.4125689895845,2.160659169767651,41.41253558090693,2.159805149637317,41.41245151441717,2.159345272544011,41.4123038156412,2.158971158461138,41.41216679956264,2.157529311847874,41.41125559254795"
237,Ronda Guinardó (Túnel de la Rovira a Oblit),"2.168195191539046,41.41251580788141,2.170652377656144,41.41369231476939,2.170962804237964,41.41376601472668,2.174227040403491,41.4162291587102,2.174305337130114,41.41644261022495,2.174682390860852,41.41675625829561,2.175529558025051,41.41739845652462,2.175895440630165,41.41773033855935,2.176146994719184,41.41814962599186"
238,Can Ràbia (Rda. General Mitre a Av. Sarrià),"2.133350286186981,41.39450190225148,2.134269278925829,41.39357085238198,2.13505001258695,41.39182087188948"
239,Pg. de Gràcia (Av. Diagonal a Aragó),"2.159474732738096,41.3963794180611,2.159905102802122,41.39618789336557,2.164852573661078,41.39218290992083"
240,Pg. de Gràcia (Aragó a Gran Via),"2.164903156448137,41.39217340015062,2.167797049464717,41.38981416475585,2.167886267565164,41.38962464565567,2.168026339724996,41.38944338608712"
241,Pg. de Gràcia (Gran Via a Pl. Catalunya),"2.168039159102795,41.38943329207393,2.168306799284012,41.38922325655304,2.169917198671594,41.38795940093518"
242,Villarroel (Gran Via a Rda. Sant Antoni),"2.146454467868266,41.393027770024275,2.1516317023376,41.389144874554006,2.1539248285035,41.38737437733698,2.1580025178065,41.38423619248701,2.1635456700879, 41.380259228103"
243,Av. Borbó (Pl. Virrei Amat a Passeig Maragall),"2.174525483941814,41.43029939595011,2.174371253316403,41.43002519176627,2.17439102365375,41.42893478162388,2.174516933692845,41.42858078277741,2.174655020447855,41.4283045005879,2.174954219914318,41.42794195920688,2.175404588518268,41.42746848244557,2.17569003417456,41.42707315149092,2.176355907174399,41.42542144911175,2.176444330168785,41.42513988724523"
244,Passeig Maragall (Av. Borbó a Pl. Maragall),"2.176369191297101,41.42510325630978,2.180689104704392,41.42043811386696"
245,Passeig Maragall (Pl. Maragall a Av. Borbó),"2.176428766070635,41.42514752210007,2.180774072533265,41.4204451273677"
246,Passeig Maragall (Pl. Maragall a Indústria),"2.180704223527825,41.42042918569906,2.180821645871593,41.42024947479354,2.180853948055881,41.42004472119031,2.180853964507861,41.41984704136321,2.180630681105573,41.41921285010048,2.180513737173355,41.4185881273518,2.180397323297936,41.41787739285698,2.180345400224455,41.4170956981447,2.180379107018811,41.41628839893522,2.180465541767449,41.41576417322942,2.180821750916686,41.41453296738401"
247,Passeig Maragall (Indústria a Pl. Maragall),"2.180757308824244,41.42043766777899,2.180874366980112,41.42028900921557,2.180917346980011,41.42003694970431,2.180896641816428,41.41976845755459,2.18068344883408,41.41915761598811,2.180524704388311,41.41824085582664,2.180450128023708,41.4176405911808,2.180419304363783,41.41712722749706,2.180452784334599,41.41634385650427,2.180529052586853,41.41581150819433,2.180885550651961,41.41458830292825"
248,Còrsega (Passeig Maragall a Padilla),"2.174366639534286,41.40781904616355,2.180561735845052,41.41252260738497,2.18076299540503,41.4126583162126,2.180940939257823,41.41270669709822"
249,Freser - Passeig Maragall (Rosselló a Indústria),"2.179119536184617,41.40962102762124,2.179168295432397,41.40976864446067,2.180206186269951,41.41141625062772,2.181260917796088,41.41324220723422,2.180879906523596,41.41456544356745"
250,Rosselló (Padilla a Freser),"2.175494203391351,41.40697274563863,2.179108377871324,41.40963725194555"
251,Maria Claret (Av. Meridiana a Passeig de Maragall),"2.186806206207965,41.42045028982432,2.180541224665338,41.41584623915646"
252,Còrsega (Padilla a Passeig de Sant Joan),"2.17437454309841,41.40781361504949,2.166573270185483,41.4019634718881"
253,Còrsega (Passeig de Sant Joan a Pl. Joan Carles I),"2.166221476072123,41.40171158184302,2.159602368651734,41.39673316131514"
254,Rosselló (Diagonal a Passeig de Sant Joan),"2.162943661168482,41.39757866527506,2.167368795077425,41.40085492032306"
255,Rosselló (Passeig de Sant Joan a Padilla),"2.16763760204447,41.40107918652652,2.175516993066637,41.40699136803681"
256,Diagonal (Pl. Joan Carles I a Passeig de Sant Joan),"2.159493237307972,41.39639250594108,2.169970114907007,41.39898139476048,2.170123395349586,41.39903359386681"
257,Diagonal (Passeig de Sant Joan a Pl. Joan Carles I),"2.169939984182332,41.39930554793892,2.169625316146864,41.39916958977256,2.169411889537798,41.39901394429984,2.16002799630028,41.39669164737801,2.159596125594883,41.39669151956773,2.159199275177774,41.39657869782409"
258,Diagonal (Passeig de Sant Joan a Marina),"2.170159337241808,41.39904187684451,2.178730275168357,41.4012120002739"
259,Diagonal (Marina a Passeig de Sant Joan),"2.178457161180671,41.40139208053393,2.170459640150289,41.39929997356818,2.169988736135187,41.39930050753475"
260,Diagonal (Marina a Pl. de les Glòries),"2.178716034478649,41.40120751120022,2.185585542157846,41.4029430584626"
261,Diagonal (Pl. de les Glòries a Marina),"2.178469045482754,41.40139526868688,2.1855522931736,41.40320594300848"
262,Mallorca (Clot a Meridiana),"2.19093788066461,41.41513640549545,2.186909448423262,41.41210233847332"
263,Mallorca (Meridiana a Padilla),"2.177767070193757,41.40524164523826,2.186902704088871,41.41209685968441"
264,Mallorca (Padilla a Passeig de Sant Joan),"2.177763706074873,41.4052353026407,2.170011548506239,41.39941440081933,2.169951058459747,41.39930869468298"
265,Mallorca (Passeig de Sant Joan a Passeig de Gràcia),"2.169420415601993,41.39900398942352,2.162842315744868,41.39404396650461"
266,València (Pau Claris a Passeig de Sant Joan),"2.165259893028393,41.39415132534823,2.170876621690245,41.39839435216976"
267,València (Passeig de Sant Joan a Padilla),"2.170881220527396,41.39839048392436,2.17887720356069,41.40440393539819"
268,València (Padilla a Meridiana),"2.178869126501748,41.40438960101215,2.186753691884615,41.41028998136033"
269,València (Meridiana a Clot),"2.18673030299553,41.41028005442177,2.190144836470356,41.41283559447433"
270,Guipúscoa (Bac de Roda a Meridiana),"2.194578847589146,41.41464991403956,2.186880559403306,41.40875902900472"
271,Aragó (Meridiana a Cartagena),"2.186884738367201,41.40877093629595,2.182231446361462,41.40520058361209"
272,Aragó (Cartagena a Diagonal),"2.176594986151275,41.40090816351372,2.182228536153388,41.40520749958681"
273,Aragó (Diagonal a Passeig de Sant Joan),"2.175969520947225,41.40049230921142,2.172109271009781,41.3975848752247"
274,Aragó (Passeig de Sant Joan a Pau Claris),"2.172077345970409,41.3975679065241,2.166376385524089,41.39329630870387"
275,Gran Via (Passeig de Gràcia a Roger de Llúria),"2.168387595645653,41.38932938891491,2.171162765884684,41.3913764579281"
276,Gran Via (Roger de Llúria a Pl. Tetuan),"2.171172513124859,41.39138203940757,2.175323998739178,41.394428900047,2.17548172798796,41.3944185217903,2.17561078780919,41.39441876780843,2.175811382691995,41.39446188233492,2.175954488367224,41.39451554149783,2.176011608564636,41.39456908585811"
277,Gran Via (Pl. Tetuan a Marina),"2.176008607900999,41.39456572437018,2.176098876166841,41.39465269969228,2.176176475318306,41.39478802512448,2.17619007552079,41.39489437896536,2.17620386743576,41.39501031739832,2.176203671891219,41.39508757161018,2.176203819339633,41.39516482238487,2.176384565259644,41.39548334809895,2.176487481552012,41.39562817793661,2.176577510083781,41.39568612586408,2.181183191918834,41.39911469706522"
278,Gran Via (Marina a Pl de les Glòries),"2.181206101072908,41.39912148566004,2.183673334451948,41.40096789496657,2.183874960861796,41.40105872131687,2.185215196245209,41.4020472907211,2.185364711287976,41.40212062533374,2.185493960976328,41.40217895116273,2.18571107528418,41.40227214385737,2.18599950255095,41.40232972198071,2.186335590268747,41.40237811325031,2.186767276861479,41.4024468493292,2.187028198563044,41.40249461425031,2.187224979840297,41.4025871785311,2.187542020176141,41.40274181244512,2.187646521682889,41.4028274937143"
279,Gran Via (Pl. de les Glòries a Bac de Roda),"2.187653340571323,41.40282576175255,2.187830247864957,41.40297472678498,2.187915562453811,41.4030969957988,2.188029077023594,41.40324064409449,2.188079049196414,41.40335185957532,2.188185517861379,41.40356430587728,2.18822801223264,41.40376718731314,2.188258932896949,41.40397606381941,2.188318275094185,41.4041479344018,2.188436721641036,41.40434003911876,2.188548608761005,41.40450309756786,2.188627700982497,41.40459285362682,2.188743310140624,41.40469900136547,2.198261193314268,41.41185417282594"
280,Gran Via (Bac de Roda a Pl. de les Glòries),"2.198166146742195,41.41192955924139,2.188645643364298,41.404793822066,2.18844975947327,41.40468150333107,2.188242063386361,41.40457742864565,2.187930993934624,41.40448205619245,2.187642555807581,41.40441997928598,2.187388165229558,41.40440596987331,2.187101644587206,41.40435798201149,2.186827803329097,41.40428428362722,2.186508082240712,41.4041554614839,2.186138069467012,41.40394627323502"
281,Ronda de Sant Pere (Passeig de Sant Joan a Pl. Urquinaona),"2.172296563893483,41.38880700614858,2.17975359322431,41.39161742919874"
282,Meridiana (Marina a Pl. de les Glòries),"2.187213946489344,41.39483060852749,2.187206455628712,41.39490763084235,2.187154698864358,41.39499584027632,2.187080448268726,41.39505140029849,2.186999481326355,41.39506821932805,2.18699172614236,41.4023705127798,2.187145848564305,41.40239329839835,2.187303288758047,41.4024551477229,2.187436255553801,41.40252312163847,2.187670224739027,41.40265895872451,2.187754100056758,41.40273323992566,2.187838404772227,41.40280751884722,2.187955761522424,41.40290057450023,2.188074406367913,41.40300605784181,2.188151116107173,41.40313671397053,2.188210852295849,41.40324261955627,2.188253473251454,41.40333615601983,2.188278265945112,41.4034484006782,2.188276779492091,41.40350439804029,2.188275388357404,41.40356034556694,2.188264859148319,41.40364725700035,2.188255828246772,41.40371561052043,2.18824826205374,41.40375930210993"
283,Meridiana (Pl. de les Glòries a Marina),"2.186575401342925,41.39488216513048,2.186582537685342,41.39493170034493,2.186618831828213,41.39499221044125,2.186699114856738,41.39504153639566,2.186823419824737,41.39507424407964,2.18683029693316,41.4023541926132,2.186631251466931,41.40236329174572,2.18645117774142,41.4023736676923,2.186237179504149,41.40243198839999,2.186090974920989,41.4024929512501,2.185893232995995,41.40260297890194,2.185790546619433,41.40269137863148,2.18567823463458,41.4028229140584,2.185606457027103,41.40295902833019,2.185568523688872,41.4030650364415,2.18554301425079,41.40318232144605,2.185525491947122,41.40335203756445,2.185578008166975,41.40348103733771,2.185653089291992,41.40364971523081,2.185735655066989,41.40377875967771,2.185825768251224,41.4038796343356,2.18591595764182,41.40397493237593,2.186021081481133,41.40404252511845"
284,Almogàvers (Badajoz a Marina),"2.193790354926084,41.39991349454472,2.187099178538201,41.39493907558347,2.187147408874426,41.39483629126918,2.1871375517868,41.39475553479705,2.187079006169905,41.39468215975906"
285,Almogàvers (Marina a Passeig Lluís Companys),"2.187078964477096,41.39467481495542,2.186991273579333,41.39464552591394,2.186893115269073,41.39463818240757,2.18673619431808,41.39466756217514,2.181657081233683,41.39086901086144"
286,Pere IV (Pallars a Bac de Roda),"2.202285333503462,41.40881896853415,2.200688127278003,41.40659923354886,2.199905034651619,41.40547692862477,2.198270352024818,41.40339637256179,2.197539421267778,41.40258991080451,2.19733996301922,41.4023011091486,2.195617249619828,41.40022557010411,2.194451468156484,41.39869629045943,2.19391316114244,41.39804489956718"
287,Pere IV - Almogàvers (Bac de Roda a Badajoz),"2.193804559616888,41.39991790438899,2.197218921936484,41.40243281134336,2.197491012162474,41.40259910308355,2.198245093199887,41.40343362091471,2.199904228311644,41.40554143568269,2.200014359626872,41.40570628869796,2.20091278094869,41.40697825881532,2.20223136138211,41.40883135615617"
288,Pallars (Meridiana a Pere IV),"2.188037538852312,41.39404445445009,2.193548972436887,41.39796007348172,2.193904169443175,41.39807405027939"
289,Passeig de Pujades - Meridiana (Passeig Picasso a Marina),"2.187212256157869,41.39482047854783,2.18720592395061,41.39475913937611,2.187193308564734,41.39472143461257,2.18713659915027,41.3946456548224,2.187086252788271,41.39462630645205,2.187004446787637,41.394603753761,2.187001065674867,41.39179361348725,2.186901012995046,41.39163105967589,2.186892555496205,41.39145597228119,2.186867533669394,41.39141218917631,2.18677589631417,41.39138721199614,2.186696694789652,41.39129520106051,2.186605460592475,41.39119647005505,2.182532550548606,41.38817329790829"
290,Meridiana - Passeig de Pujades (Marina a Passeig Picasso),"2.182466296478876,41.38821554308381,2.186640492714997,41.39134774248901,2.186849898982164,41.39145605196709,2.186849707837704,41.39163463391953,2.186790287572795,41.3917881549837,2.186821175056726,41.39457803933334,2.186742498083509,41.39462225392271,2.186681200988909,41.39466154747251,2.186618833549456,41.39471389210219,2.186590750842177,41.39478579309672,2.186571557908115,41.39487070447252"
291,Passeig de Colom (Pl. Portal de la Pau a Pl. Antonio López),"2.178149545058776,41.37603687457116,2.17878459529987,41.37686723631131,2.182331755757352,41.38124790489493"
292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
293,Av. Marqués de l'Argentera (Pl. Antonio López a Passeig de Picasso),"2.182329274444677,41.38125183732253,2.183398224234381,41.38258263306845,2.183560879645101,41.38268816549807,2.183649596213593,41.38278249850257,2.183767906437131,41.38292674086492,2.183804898118869,41.38305988540441,2.185727425511332,41.38537281172592,2.185762660680335,41.38547533185715,2.185843409660477,41.38556898408267"
294,Av. Marqués de l'Argentera (Passeig de Picasso a Pl. Antonio López),"2.185806765732625,41.38558559351512,2.185733331770534,41.38550293688728,2.18560923553121,41.38545958337497,2.183655852074802,41.38313804536244,2.183508502627158,41.38308270243066,2.183331617254489,41.38290566330407,2.183243174739578,41.38272313901077,2.183221074292046,41.38264573919017,2.182123336425879,41.38139085247857"
299,Passeig de Calvell (Llacuna a Bac de Roda),"2.211551984133338,41.40180686280998,2.20930451586175,41.40010857827861,2.207581541125085,41.39856397804245,2.207538593713219,41.39846903733025,2.206291786420109,41.3972860085454,2.205325714008901,41.39647549267787"
300,Passeig de Calvell (Bac de Roda a Llacuna),"2.205228190625193,41.39652580463805,2.206229405630515,41.39739162549994,2.207425121148774,41.39851840828394,2.207511945858076,41.39855922910689,2.209256993450663,41.40015618302436,2.211509942918168,41.40184996180719"
301,Passeig de Valldaura (Pl. Karl Marx a Pl. Llucmajor),"2.162808801568454,41.43957336175498,2.173987452517481,41.43843955086077,2.174330062125325,41.4384179649965,2.174330342605424,41.43834392245098,2.174337968534752,41.43825299454713,2.174391338538049,41.43818454806542,2.174482893246983,41.43814428015251,2.174582173576281,41.43811530800574,2.174666257713593,41.43810915451944"
302,Passeig de Valldaura (Pl. Llucmajor a Pl. Karl Marx),"2.163268700404268,41.43997495108867,2.163662050513353,41.43959436814822,2.174368577150254,41.4385002364283,2.17445113503852,41.43856001822372,2.174588248686795,41.43858807494925,2.174679653152651,41.43858220433361,2.174771270555815,41.43854783846893"
305,Via Júlia (Pl. Llucmajor a Ronda de Dalt),"2.17479118573644,41.4385606978524,2.178179649508369,41.44239156804512,2.179743381822086,41.4459134661416"
306,Via Júlia (Ronda de Dalt a Pl. Llucmajor),"2.179345056763169,41.4458448325129,2.177663016460008,41.44194271122765,2.174670788914208,41.43858774725202"
307,Doctor Pi i Molist (Pl. Madres Mayo a Pl. Virrei Amat),"2.172075507624494,41.43536008602456,2.174503141752415,41.43092405296252,2.174563157956122,41.43065734530405,2.174534393113594,41.43031348578852"
308,Ramon Albó (Passeig Maragall a Escòcia),"2.177275604026574,41.42868782826998,2.177240322826932,41.42714896767968,2.177367021709897,41.42414122872888"
309,Arnau d'Oms (Escòcia a Fabra i Puig),"2.177337402724373,41.43014325138577,2.177279497092064,41.42869311478396"
310,Deià (Piferrer a Passeig Verdum),"2.172232087822361,41.4355891722309,2.172656180881871,41.43496996964323,2.177969832859035,41.43252021695108"
311,Passeig Valldaura (Pl. Lucmajor a Meridiana),"2.174682918497206,41.43811200872288,2.174772402196976,41.43813192808916,2.174841025254792,41.43819311078528,2.174888775146993,41.43824943747124,2.174895362320519,41.43830586505164,2.174899854116354,41.43836019639977,2.185278571412763,41.43965437080544"
312,Passeig Valldaura (Meridiana a Pl.Llucmajor),"2.174770248012226,41.43854631009036,2.174845343963643,41.43848917106337,2.174875166447365,41.43843775132326,2.185303206660705,41.43973880885275"
313,Fabra i Puig (Meridiana a Pl. Virrei Amat),"2.182922409458461,41.43024286453253,2.180781425051079,41.43026220848196,2.177342104220466,41.43013159886148,2.175183686490498,41.43009200423135,2.174516622124614,41.43030883733601"
314,Escòcia (Felip II a Meridiana),"2.184078441575095,41.42865184785591,2.176348063547571,41.42870230441443"
315,Bac de Roda (Ronda Litoral a Pere IV),"2.202252525483122,41.4088423959597,2.209995059733854,41.40297755702227,2.210322819560233,41.40272480298821,2.211988506269775,41.40150871040184"
316,Bac de Roda (Pere IV a Gran Via),"2.202253036751489,41.40884356923853,2.19821551254578,41.41188491359524"
317,Bac de Roda (Gran Via a Clot),"2.191406806696115,41.41695138270531,2.198218055582601,41.41188698044047"
318,Felip II (Clot a Meridiana),"2.186911627549961,41.42039667523422,2.191421467039174,41.41695143999201"
319,Felip II (Meridiana a Ramon Albó),"2.177254011110719,41.42778894970532,2.186916953355738,41.42038833390436"
320,Meridiana (Pl. de les Glòries a Aragó),"2.188245387285897,41.40375649409717,2.188168144238278,41.40388950864532,2.188086578372477,41.40400825942829,2.187986406730915,41.40411121633424,2.187862766655038,41.40420021348245,2.187729781597392,41.40426826991453,2.18759128786399,41.40433886625608,2.187489058406291,41.40437072615017,2.187347558019304,41.40440220291704,2.18718395878982,41.40443342562421,2.187040849259154,41.40443363683924,2.18702814268658,41.40888949710181"
321,Meridiana (Aragó a Pl. de les Glòries),"2.186008986232371,41.40404960725547,2.18612942875015,41.404135541241,2.186266525266269,41.40421306524782,2.186407062115927,41.40428493489523,2.18655057005362,41.4043459861586,2.186714368777525,41.40439226376698,2.186706125862754,41.40862910196121"
322,Meridiana (Aragó a Felip II),"2.187031337820338,41.40888466816597,2.187018310721958,41.42031299049145"
323,Meridiana (Felip II a Aragó),"2.186706066847921,41.40863296861817,2.186835386239077,41.42045832765945"
324,Meridiana (Felip II a Fabra i Puig),"2.187020600849345,41.4203163565214,2.18699905467648,41.42327322632154,2.186995804753888,41.4234955247171,2.186976119173683,41.42375411816685,2.186933287427793,41.4240424265414,2.186871314345247,41.42434264091025,2.186807264115707,41.4245807468165,2.18670927946931,41.42482059102596,2.186632019445851,41.42500747528286,2.186439183077698,41.42534608437389,2.186271119931678,41.42562772363225,2.184282280318199,41.42865376651377,2.18362218944326,41.42956420702944,2.183119998150269,41.4302407696195"
325,Meridiana (Fabra i Puig a Felip II),"2.186837039112155,41.42045057237959,2.186865841981085,41.42286944619629,2.186842318558495,41.42334007968726,2.1868071593633,41.42369579756679,2.186735179356385,41.42414484406147,2.186597332853693,41.4245995776623,2.186481248806957,41.42494166217161,2.18612109039932,41.42558929956375,2.184079127166918,41.42866585955072,2.183837639701673,41.42900607392157,2.183538009888673,41.4294081017779,2.182905307134744,41.4302363736247"
326,Meridiana (Fabra i Puig a Passeig Valldaura),"2.183119724919511,41.43024171510604,2.183028449182682,41.43037523403805,2.182943353203239,41.43055523003838,2.182867239954756,41.43075602940147,2.182805346474075,41.43094205575669,2.182777445601163,41.43117078392691,2.182795752635292,41.43139783697109,2.182837470970038,41.43165773234932,2.182892532756688,41.43192996876788,2.183003330144153,41.43222950872213,2.185501388971867,41.43971488552259"
327,Meridiana (Passeig Valldaura a Fabra i Puig),"2.182901589134316,41.43024282550286,2.182806731357883,41.43037838131059,2.182728119877078,41.43051843823983,2.182671751775531,41.43066264451104,2.182629766011905,41.43083956765242,2.182597499349943,41.43102443327062,2.182572165275685,41.43121662405998,2.182577240579362,41.43143282824494,2.182605306294934,41.43160262247754,2.182648238747467,41.43178079239399,2.182721968034802,41.43199248871385,2.185273661474187,41.43969026855073"
328,Meridiana (Passeig Valldaura a Ronda de Dalt),"2.185500198150545,41.43970898171752,2.187808883282514,41.44689581351873"
329,Meridiana (Ronda de Dalt a Passeig Valldaura),"2.185270503288435,41.43969264084412,2.187585770307858,41.44689342886738"
330,Passeig de Santa Coloma (Coronel Monasterio a Av. Meridiana),"2.192806299204555,41.44606036985994,2.188485355423537,41.44455509720271,2.18833503956108,41.44458392249496,2.187613331489096,41.44433856525444,2.186910771202928,41.44407105763465"
331,Passeig de Torras i Bages (Passeig Santa Coloma a Sant Adrià),"2.190552567442461,41.4452804071076,2.191182202894817,41.43647870200038,2.191694779245441,41.43528518239116,2.192197977358719,41.43399018846432"
332,Passeig de Torras i Bages (Sant Adrià a Passeig Santa Coloma),"2.192272336255039,41.43400639155811,2.191815278408009,41.43517201412739,2.191257612277835,41.43648661032637,2.190633690597894,41.44529881351944"
333,Sant Adrià (P. Torras i Bages a Enric Sanchís),"2.19220918240433,41.43393926728126,2.194464255464257,41.43523098590195,2.195063454189155,41.43535724752892,2.195688405956351,41.43546825315512,2.198646604602073,41.43538042792972,2.20079234318231,41.43567731160756,2.200896760301321,41.43556677461162,2.201010062803621,41.4355271970703,2.201170377763349,41.43553250272345,2.201272756282451,41.43562362416823,2.201296895899556,41.43570317875044,2.201317017116169,41.43576330522411,2.204504910311991,41.43610188029489"
334,Sant Adrià (Enric Sanchís a P. Torras i Bages),"2.204473294674922,41.4361535274444,2.201251409727687,41.43580760192525,2.201154660481473,41.43585917716155,2.201047267045808,41.43588497405972,2.200927789736742,41.43585392973851,2.200838775755416,41.43578929406591,2.200818144245516,41.43573774286105,2.198640577959288,41.43547258601919,2.195724261571808,41.43557053893949,2.194931241377875,41.43547059041353,2.194493485945033,41.43530119993464,2.192225119472535,41.43399654690411"
335,Josep Soldevila (Onze de Setembre a Sant Adrià),"2.196015446156272,41.42994698816749,2.195980602770595,41.4302971028614,2.195906026790504,41.43059674361975,2.1958100105571,41.4309045672766,2.19566296843738,41.43129538820505,2.195464805467366,41.43169429525608,2.195086237801391,41.43228582468671,2.194289621354484,41.43331046086448,2.193223153218922,41.43454021409008"
336,Virgili (Sant Adrià a Pare Manyanet),"2.192256373281816,41.43397547530029,2.192845971274144,41.43305346286913,2.19313988148977,41.43244749724646,2.193282370781975,41.43173133253341,2.193602792648974,41.43092894226024,2.193717852510613,41.43045794809416,2.193689957104748,41.42994821962633,2.19362915208257,41.42814971568748"
337,Gran Sant Andreu - Sagrera (Onze de Setembre a Clot),"2.189763912155924,41.430121589108,2.190355516132891,41.42883536481936,2.19088631705161,41.42781374590944,2.191126295383297,41.42248086123464,2.191359452503887,41.41885543432907,2.191409157224926,41.41695147241376"
338,Berenguer de Palou (Clot a Pare Manyanet),"2.191567355464075,41.42093839319802,2.191875672615864,41.42237623684564,2.191573474609605,41.42776461372736"
339,Clot (Sagrera a Mallorca),"2.19137478991271,41.41694337416473,2.190980905383457,41.41555781695555,2.190823283448573,41.41506941985622"
340,Clot (València a Sagrera),"2.190206121829423,41.41285264048033,2.191527932471504,41.41683100587768"
341,Pont del Treball (Berenguer de Palou a Cantàbria),"2.191796543324125,41.42243562475894,2.192496008902742,41.4226817916113,2.19875773870851,41.42169379438499"
342,Pont del Treball (Cantàbria a Berenguer de Palou),"2.198685766150317,41.42213842594377,2.197998157663927,41.42197996335909,2.192546058156724,41.42288250484093,2.191791060186721,41.42271572021504"
343,Cantàbria - Santander (Pont del Treball a Ronda Litoral),"2.200463011464453,41.42576760319516,2.201358260052515,41.42648149331356,2.203162733307833,41.42851853203284,2.207589182215346,41.43396396001975,2.209143484152543,41.43568107668256"
344,Santander - Cantàbria (Ronda Litoral a Pont del Treball),"2.209019344323226,41.43588678522927,2.207403109647192,41.4340718825539,2.201252086757919,41.4267332444273,2.200193979576546,41.42596168408615"
345,Cantàbria (Pont del Treball a Gran Via),"2.198774155265424,41.42168047812103,2.205011461261657,41.41695230739151"
346,Cantàbria (Gran Via a Pont del Treball),"2.20515031286791,41.4170241505587,2.199318891407438,41.42139713358063,2.19865203451745,41.42213913112358"
347,Rambla de Prim (Santander a Gran Via),"2.200210833570606,41.42552059561477,2.206943225484321,41.42032693999515,2.207909568986779,41.41945538203018"
348,Rambla de Prim (Gran Via a Santander),"2.208660254301869,41.41994273893735,2.207402269230097,41.42061492868572,2.200601601840229,41.4257530125201"
349,Guipúscoa (Ronda del Litoral a Cantàbria),"2.212648599543077,41.4297687426488,2.212089878778583,41.42864887547461,2.210133578818636,41.42631779789469,2.204874627605831,41.4223855897775,2.201385462630006,41.41983130566874"
350,Guipúscoa (Cantàbria a Bac de Roda),"2.201278038382828,41.41974261452176,2.194516148627024,41.41463962187127"
351,Gran Via (Bac de Roda a Rambla de Prim),"2.19828116456658,41.41183810577802,2.205212742962623,41.41687957639128,2.208193383684642,41.41924439443069"
352,Gran Via (Rambla de Prim a Bac de Roda),"2.207994130109443,41.41935812347232,2.198164348492846,41.41192907696077"
353,Gran Via (Rambla de Prim a Ronda del Litoral),"2.20822644394729,41.41925048080365,2.209798154157849,41.42042846588824,2.211954508834009,41.42199668697895,2.213873736001579,41.42335778634512,2.21563355799371,41.42415771214512,2.216642446399448,41.42460207216525"
354,Gran Via (Ronda del Litoral a Rambla de Prim),"2.215515389430796,41.42595634794758,2.214198441446551,41.42446847827038,2.211788631283833,41.42224309138842,2.20799519369884,41.41943485796115"
355,Josep Pla (Gran Via a Pallars),"2.205019265122314,41.41693445165725,2.211866438181638,41.41184763418445"
356,Josep Pla (Pallars a Gran Via),"2.211917458152006,41.41179030852185,2.212121530104803,41.41190509561115,2.205137650978253,41.4170294913522"
357,Pere IV (Bac de Roda a Gran Via),"2.202295095581528,41.40882609688327,2.20318865609541,41.41007327115852,2.203848007254801,41.41111370969998,2.2047582326462,41.41211275938164,2.207222578980737,41.41526887527138,2.208905500345961,41.41729972993026,2.209923402260159,41.41858883748697,2.209519103715456,41.41885609785354,2.208855639897611,41.41967022660469"
358,Pere IV (Gran Via a Bac de Roda),"2.208605124754242,41.4193155996484,2.209141064713853,41.41880082038309,2.209538398559738,41.41841567506231,2.207116441408166,41.41542315567804,2.204707555735552,41.41222295216809,2.203795647274629,41.41114648957243,2.202253875792446,41.40886734327474"
359,Rambla Prim (Gran Via a Pl. Llevant),"2.208671312523127,41.41921804470648,2.219083540091873,41.41146214044532"
