Tram,Descripció,Coordenades
60,Muntaner (Pl. Bonanova a Mitre),"2.133231230181827,41.40646340308802,2.133792792325293,41.40607790277628,2.134965587331543,41.40545380094502,2.135459218358997,41.40504400402347,2.137199542381589,41.40343892288051,2.137918576526974,41.40283125829227"
61,Muntaner (Rda. General Mitre a Via Augusta),"2.137940222404124,41.40282906557358,2.139641261112955,41.40152844994962,2.143175505921606,41.39888639642245"
62,Muntaner (Via Augusta a Diagonal),"2.143212420492087,41.39885936468345,2.149442557241303,41.39419241338425"
63,Aribau (Diagonal - Via Augusta),"2.151134995432096,41.3946113271771,2.149359586593731,41.39592598208619,2.148445186694912,41.39677731911217,2.147988208756202,41.3972694343402,2.147472729618427,41.39771371946721,2.146657794178697,41.39841952969403,2.144826980328654,41.39988910629263"
64,Av. Tibidabo (Ronda de Dalt a Balmes),"2.13389601606337,41.41444927714376,2.136766745554453,41.41055926706828,2.136804031848245,41.41046226938555,2.136805896662108,41.410382802546,2.136716204981326,41.41032838074329,2.13663363244236,41.41021492985706"
65,Av. Tibidabo (Balmes a Ronda de Dalt),"2.133985692018012,41.4144648010035,2.136859507389066,41.41054187273326,2.136872911053245,41.41048010920315,2.136875365291078,41.41040055569965,2.136974155599412,41.41035427604488,2.137055584369678,41.41026734219518"
66,Balmes (Av. Tibidabo a Mitre),"2.136629786571078,41.41014977123361,2.136914195218251,41.40968133281425,2.13703644753708,41.40962362665861,2.137159486602656,41.40960501434842,2.139312627074053,41.40541230687247,2.139507835421719,41.40513056322332,2.140625737110098,41.40442159697891"
67,Balmes (Mitre a Av. Tibidabo),"2.137114077230693,41.41025868922216,2.137287039275939,41.40987662723338,2.137285967870135,41.40973740222083,2.137250268665043,41.40964993522054,2.137242284052432,41.4095907411075,2.139377061627725,41.40542607003665,2.139581128868071,41.40515260468192,2.140689755369492,41.4044311990333"
68,Balmes (Mitre a Pl. Molina),"2.14064814115134,41.40440615173684,2.140853629397339,41.40433298945904,2.142121593937563,41.40387247913181,2.142873106046606,41.4033899173406,2.143227333354891,41.40319444502883,2.143594743095443,41.4030443656306,2.144394367005429,41.40281797904604,2.144851547907785,41.402647258668,2.145880019501794,41.40209452146087,2.146265720723375,41.40189644623862,2.147502558671715,41.40125266764066,2.14765272430774,41.40113029332946"
69,Balmes (Pl. Molina a Mitre),"2.147691576571567,41.40116890779236,2.14753886884784,41.40129081701603,2.147395994928165,41.40136979000757,2.145988809451622,41.4020961486132,2.14487638164619,41.40268005303735,2.144435341169131,41.40285845132285,2.143596312002827,41.4030948616967,2.143280591404542,41.40322181526727,2.14293887506108,41.40340481116391,2.142195807223719,41.40388007860428,2.140696478597226,41.40442623582037"
70,Balmes (Pl. Molina a Travessera de Gràcia),"2.147671264667868,41.40114134820747,2.148172018067294,41.40075860453358,2.148971963851327,41.40021573721687,2.150364711909369,41.39931490968409,2.150605626097248,41.39912706617887,2.150790645798189,41.39890203767806,2.151361007365604,41.39812726459969,2.151893280449693,41.39761096011259"
71,Balmes (Travessera de Gràcia a Diagonal),"2.151894819385032,41.39760240138553,2.152669530224771,41.39689370109998,2.15453935786817,41.39546358640564"
72,Via Augusta (Mitre a Muntaner),"2.132854499392742,41.39775778438297,2.138747380364794,41.39778992358665,2.139965612455959,41.39782872923751,2.141024283949768,41.39802558104492,2.142297511646643,41.39840057768073,2.143210223141565,41.39882238226276"
73,Via Augusta (Muntaner a Mitre),"2.132855081210556,41.39783179317504,2.138821727856817,41.39785481564338,2.13995237228428,41.39790269695745,2.140997418397705,41.39809919959492,2.142258807174715,41.39847470744451,2.143132276240471,41.39887706053906"
74,Via Augusta (Muntaner a Pl. Molina),"2.14324745961459,41.39883723967652,2.146146931552875,41.40071083770353,2.146556334481753,41.40091174998133,2.147070962730708,41.40103435413639,2.147634892635182,41.40112958747402"
75,Via Augusta (Pl. Molina a Muntaner),"2.14316452761838,41.39890804499544,2.146137388909639,41.40078908098135,2.14653708926779,41.40098971586652,2.147539204168791,41.4012006012245"
76,Via Augusta (Príncep d'Astúries a Pl. Molina),"2.147653471793694,41.40121928040267,2.148612454237329,41.40122795823834,2.149319468370867,41.40116377786204,2.149973058345369,41.40100469770106,2.150831572315923,41.40073038508862,2.151260369793269,41.40049702229832"
77,Via Augusta (Príncep d'Astúries a Travessera de Gràcia),"2.150924953604845,41.40055597013868,2.151254200595316,41.40034906791507,2.151660535176079,41.40001330674661,2.152008562102776,41.39964915201624,2.152491262593654,41.39916246223249,2.152715313116349,41.39892957418046,2.153100348076085,41.39854519853476,2.153185013490384,41.39842766655564"
78,Via Augusta (Travessera de Gràcia a Príncep d'Astúries),"2.151275193676769,41.40049161123837,2.151593541895855,41.40026135469179,2.151748590406326,41.40011255669627,2.152082654397416,41.39972657657133,2.152556805685428,41.39921230615895,2.153317553728209,41.39850012894904"
79,Via Augusta (Travessera de Gràcia a Diagonal),"2.153186987611491,41.39842388540784,2.154861422358547,41.39673288437555,2.155232919915104,41.39625206983332,2.155530176450671,41.39574111664157"
80,Via Augusta (Diagonal a Travessera de Gràcia),"2.153320475072256,41.39849030383854,2.155026390222976,41.39677786524081,2.155269050501907,41.39648401039356,2.155598149918865,41.39591625384674,2.1556437455189,41.39583682404557,2.15571178717493,41.3957857677618"
81,Príncep d'Astúries (Pl. Lesseps a Via Augusta),"2.149560446321661,41.40644790244836,2.149903458303759,41.40616395340912,2.149980830554206,41.40602013117243,2.150008390509743,41.40585985717522,2.149971971408369,41.40569913339066,2.149942864365673,41.40558652441705,2.149949208814779,41.40543088693501,2.150323506508678,41.40441454231236,2.150315763642809,41.40428401899042,2.15027185915992,41.40416412590218,2.150177235181487,41.40405484954844,2.150046017478504,41.40390707475788,2.149934676027225,41.4035338624784,2.149869538257088,41.40329229672174,2.149878033319481,41.40311957907205,2.151073105054713,41.40156308888147,2.151153237717258,41.40137344117284,2.151182042624977,41.40119689337912,2.151159704307821,41.40102715677408,2.150954311254836,41.40069789324479"
82,Príncep d'Astúries (Via Augusta a Pl. Lesseps),"2.151281990765521,41.4005094933265,2.151220641618139,41.40101068043172,2.15124240083127,41.40115309738327,2.151235009657098,41.40128437882742,2.151189272090524,41.4014644607842,2.151117541664784,41.40161316725425,2.149964472378971,41.40313128994033,2.149950586595109,41.40328051387779,2.149990309516381,41.40351463476419,2.150115047804799,41.40388359980847,2.150336446525316,41.40414508560257,2.150395101899134,41.4042799364974,2.15039191101138,41.40441446448642,2.150008879546235,41.40543352015334,2.150000074199923,41.40559220445486,2.150050462684447,41.40584306062575,2.150032421669086,41.40601874895052,2.14994994261446,41.40618412508725,2.149600181347451,41.40647534813027"
83,República Argentina (Craywinckel a Bolívar),"2.139938976107152,41.41246000590063,2.140753869026395,41.41181817385154,2.141046301056226,41.41174904570585,2.143242121268065,41.41148585799609,2.144775904820691,41.41135295653501,2.144965491653683,41.41131454451882,2.145213817129386,41.41119120897858,2.145635969151105,41.41082586440567"
84,República Argentina (Bolívar a Pl. Lesseps),"2.145624246063225,41.41081048840697,2.145949548084805,41.41015519007927,2.147470162363498,41.40824562061646,2.147779069663178,41.40791072666796,2.149270483546311,41.406694222512"
85,Hospital Militar (Ronda de Dalt a Esteve Terradas),"2.140275791324389,41.42040072383414,2.140460361646834,41.42042012273994,2.140529963301094,41.42031581278248,2.140825214891471,41.4190705899852,2.140860294575888,41.41872992817744,2.140988885716104,41.41795635062063,2.141083635292709,41.41754101272163,2.141165413924095,41.41730539458742,2.142864999749432,41.41462856331773,2.142973255579952,41.41442276541954,2.14300835954051,41.41427425347645,2.143023227798955,41.41413034967827,2.14290943383876,41.4129785052297,2.142910269370164,41.41286759492699,2.142963902238491,41.41271181169972"
86,Hospital Militar (Esteve Terradas a Ronda de Dalt),"2.143057128865229,41.4127024277656,2.143007348762989,41.4128251116097,2.142985865992546,41.41291503275235,2.143077146138108,41.41421248729485,2.143062549911901,41.41431518505991,2.143027419954238,41.41443302875575,2.141211555789144,41.41732223700478,2.141128715595619,41.41759372386722,2.14104797157525,41.41794238946558,2.140882076736523,41.41900811030367,2.140564981653013,41.42033035044939,2.14047833573811,41.42045016571934,2.140389728750982,41.42053976567024"
87,Hospital Militar (Esteve Terradas a Ballester),"2.142977370443342,41.4127024535737,2.143076315047412,41.4126103438586,2.143229701271594,41.41246130739191,2.143420343766984,41.41236388638739,2.144082568665022,41.41207740307656,2.144761568645204,41.41186693481722,2.145097487922558,41.41174172180273,2.146840752760542,41.41043505723023,2.14716586158894,41.4101509047595,2.14827018894624,41.40912612592661"
88,Hospital Militar (Pl. Lesseps a Esteve Terradas),"2.143060470266764,41.41271477906312,2.14329091101287,41.41248795504874,2.14424096987571,41.41207802080396,2.14512421174953,41.4118017387431,2.146921246555371,41.41044193338296,2.148323720270153,41.40915386923562,2.149427446670749,41.40812152557918,2.149732295625868,41.40781074454478,2.149970641087076,41.4073792725568"
89,Gran de Gràcia (Pl. Joan Carles I a Travessera de Gràcia),"2.159532094534289,41.39673891803066,2.158083366076291,41.39783957898014,2.157771081921496,41.39788360441276,2.155479132654941,41.3998543433505"
90,Gran de Gràcia (Travessera de Gràcia a Pl. Lesseps),"2.155479514648078,41.39985197423292,2.153428760580796,41.40158379049262,2.152968048313579,41.40206386216953,2.152638572195631,41.40246210171217,2.1525095732575,41.4026828134673,2.152125043052562,41.40353506454171,2.15191643237495,41.40395423348374,2.151511388072331,41.40448415077102,2.150505382388375,41.40571607854331,2.150413071942448,41.4058198997062,2.150297624541728,41.40593232286924,2.149638049997826,41.40651218065347"
91,Passeig de la Bonanova (Via Augusta a Pl. Bonanova),"2.123071539286234,41.40081897624339,2.133108819545619,41.40640150350198"
92,Passeig de la Bonanova (Pl. Bonanova a Via Augusta),"2.133034962072422,41.40642228430876,2.123013333050363,41.40085051339855"
93,Passeig de Sant Gervasi (Pl. Bonanova a Balmes),"2.133803146104767,41.4068334002393,2.134377906959957,41.40768634376488,2.134402946604035,41.40777663300014,2.134350298469123,41.40866712201655,2.13439400992316,41.40873735154019,2.135552025884202,41.40981026069165,2.13568398025719,41.40988619383161,2.135922666461512,41.40998608423976,2.136618664539203,41.41014766002019"
