,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
81,4288,5000,2697,1,3690,1860,0
82,4290,5000,2698,3,3690,1860,0
83,4290,5000,2700,3,3690,1860,0
84,4290,5000,2702,4,3690,1860,0
85,4290,5000,2703,7,3690,1860,0
86,4290,5000,2703,10,3690,1860,0
87,4290,5001,2704,13,3690,1860,0
88,4290,5002,2705,24,3690,1860,0
89,4290,5006,2705,27,3690,1860,0
90,4290,5010,2705,36,3690,1860,0
91,4290,5014,2705,42,3690,1860,0
92,4290,5030,2705,54,3690,1860,0
93,4290,5049,2705,65,3690,1860,0
94,4290,5082,2705,78,3690,1860,0
95,4290,5115,2705,90,3690,1860,0
96,4290,5157,2705,111,3690,1860,0
97,4290,5204,2705,133,3690,1860,0
98,4290,5273,2705,152,3690,1860,0
99,4290,5343,2705,171,3690,1860,0
100,4290,5423,2705,184,3690,1860,0
101,4290,5528,2705,196,3690,1860,0
102,4290,5661,2705,215,3690,1860,0
103,4290,5808,2705,233,3690,1860,0
104,4290,5971,2705,260,3690,1860,0
105,4290,6160,2705,283,3690,1860,0
106,4290,6361,2705,304,3690,1860,0
107,4290,6555,2705,319,3690,1860,0
108,4290,6769,2705,336,3690,1860,0
109,4290,6980,2705,359,3690,1860,0
110,4290,7195,2705,370,3690,1860,0
111,4290,7434,2705,384,3690,1860,0
112,4290,7651,2705,390,3690,1860,0
113,4290,7861,2705,403,3690,1860,0
114,4290,8055,2705,415,3690,1860,0
115,4290,8241,2705,423,3690,1860,0
116,4290,8424,2705,428,3690,1860,0
117,4290,8601,2705,430,3690,1860,0
118,4290,8740,2705,434,3690,1860,0
119,4290,8881,2705,435,3690,1860,0
120,4290,9009,2705,441,3690,1860,0
121,4290,9097,2705,444,3690,1860,0
122,4290,9188,2705,445,3690,1860,0
123,4290,9284,2705,448,3690,1860,0
124,4290,9378,2705,448,3690,1860,0
125,4313,9463,2729,449,3730,1862,0
126,4345,9538,2756,453,3774,1864,0
127,4378,9607,2782,455,3824,1865,0
128,4403,9648,2808,456,3864,1868,0
129,4470,9682,2856,460,3923,1871,0
130,4532,9717,2903,466,3991,1873,0
131,4602,9749,2952,471,4062,1876,0
132,4666,9782,2996,474,4130,1878,0
133,4781,9807,3065,482,4222,1881,0
134,4891,9838,3136,488,4313,1884,0
135,5000,9853,3201,497,4410,1887,0
136,5112,9867,3274,507,4499,1890,0
137,5226,9883,3358,517,4616,1897,0
138,5364,9896,3452,526,4736,1903,0
139,5507,9899,3537,534,4859,1911,0
140,5644,9905,3628,547,4989,1918,0
141,5780,9907,3720,559,5097,1924,0
142,5909,9917,3808,574,5230,1931,0
143,6051,9932,3893,586,5347,1938,0
144,6194,9949,3988,594,5468,1944,0
145,6313,9962,4075,607,5595,1950,0
146,6446,9989,4162,618,5712,1956,0
147,6564,10025,4236,626,5836,1962,0
148,6687,10065,4322,638,5972,1968,0
149,6810,10116,4405,647,6076,1974,0
150,6919,10156,4495,658,6210,1979,0
151,7037,10212,4570,667,6325,1986,0
152,7141,10296,4644,678,6453,1992,0
153,7236,10385,4713,688,6576,1998,0
154,7323,10488,4779,698,6697,2004,0
155,7414,10584,4848,708,6819,2010,0
156,7488,10696,4914,718,6940,2016,0
157,7556,10871,5023,726,7035,2023,0
158,7631,11018,5092,734,7115,2027,0
159,7691,11172,5137,741,7191,2034,0
160,7725,11341,5167,750,7271,2038,0
161,7768,11544,5267,754,7332,2047,0
162,7822,11722,5313,758,7386,2051,0
163,7866,11903,5349,762,7440,2054,0
164,7895,12088,5378,765,7504,2059,0
165,7941,12296,5437,767,7538,2063,0
166,7977,12480,5469,768,7564,2066,0
167,8013,12661,5493,769,7591,2069,0
168,8040,12832,5517,770,7624,2072,0
169,8086,13046,5544,770,7625,2077,0
170,8122,13207,5557,770,7626,2077,0
171,8151,13377,5566,770,7626,2077,0
172,8181,13533,5579,770,7626,2078,0
173,8210,13679,5582,770,7626,2078,0
174,8234,13804,5584,770,7626,2078,0
175,8252,13928,5585,770,7626,2078,0
176,8274,14033,5585,770,7626,2078,0
177,8289,14134,5585,770,7626,2078,0
178,8308,14231,5585,770,7626,2078,0
179,8329,14318,5585,770,7626,2078,0
180,8345,14380,5585,770,7626,2078,0
181,8363,14451,5585,770,7626,2078,0
182,8375,14512,5585,770,7626,2078,0
183,8388,14564,5585,770,7626,2078,0
184,8404,14616,5585,770,7626,2078,0
185,8412,14665,5585,770,7626,2078,0
186,8420,14698,5585,770,7626,2078,0
187,8427,14731,5585,770,7626,2078,0
188,8435,14769,5585,770,7626,2078,0
189,8443,14802,5585,770,7626,2078,0
190,8449,14828,5585,770,7626,2078,0
191,8458,14849,5585,770,7626,2078,0
192,8464,14868,5585,770,7626,2078,0
193,8476,14883,5585,770,7626,2078,0
194,8485,14902,5585,770,7626,2078,0
195,8494,14918,5585,770,7626,2078,0
196,8503,14942,5585,770,7626,2078,0
197,8515,14956,5585,770,7626,2078,0
198,8523,14980,5585,770,7626,2078,0
199,8529,15016,5585,770,7626,2078,0
200,8535,15044,5585,770,7626,2078,0
201,8538,15087,5585,770,7626,2078,0
202,8546,15132,5585,770,7626,2078,0
203,8554,15182,5585,770,7626,2078,0
204,8559,15246,5585,770,7626,2078,0
205,8561,15317,5585,770,7626,2078,0
206,8567,15396,5585,770,7626,2078,0
207,8573,15484,5585,770,7626,2078,0
208,8575,15583,5585,770,7626,2078,0
209,8576,15682,5585,770,7626,2078,0
210,8584,15809,5585,770,7626,2078,0
211,8588,15929,5585,770,7626,2078,0
212,8591,16054,5585,770,7626,2078,0
213,8593,16176,5585,770,7626,2078,0
214,8594,16331,5585,770,7626,2078,0
215,8596,16506,5585,770,7626,2078,0
216,8598,16665,5585,770,7626,2078,0
217,8601,16819,5585,770,7626,2078,0
218,8603,16989,5585,770,7626,2078,0
219,8612,17182,5585,770,7626,2078,0
220,8614,17356,5585,770,7626,2078,0
221,8619,17513,5610,772,7665,2079,0
222,8624,17687,5634,774,7708,2080,0
223,8630,17846,5661,776,7754,2081,0
224,8632,18012,5688,778,7798,2082,0
225,8642,18135,5735,784,7864,2084,0
226,8654,18272,5785,790,7932,2086,0
227,8664,18391,5827,796,7996,2088,0
228,8671,18511,5880,802,8068,2090,0
229,8691,18582,5945,811,8150,2093,0
230,8710,18670,6014,820,8255,2096,0
231,8724,18748,6080,829,8348,2099,0
232,8739,18819,6142,838,8436,2102,0
233,8758,18867,6233,848,8554,2107,0
234,8786,18921,6314,858,8675,2112,0
235,8809,18956,6397,868,8797,2117,0
236,8826,19007,6489,878,8928,2122,0
237,8842,19040,6578,887,9042,2127,0
238,8865,19085,6660,898,9162,2132,0
239,8886,19120,6747,908,9288,2137,0
240,8907,19152,6828,918,9412,2142,0
241,8925,19182,6896,927,9535,2147,0
242,8944,19203,6979,938,9653,2152,0
243,8961,19226,7053,948,9777,2157,0
244,8977,19246,7120,958,9901,2162,0
245,8993,19269,7192,968,10020,2166,0
246,9011,19285,7250,978,10147,2172,0
247,9031,19306,7320,988,10277,2177,0
248,9044,19318,7365,998,10400,2182,0
249,9061,19331,7413,1008,10519,2187,0
250,9074,19348,7454,1018,10643,2192,0
251,9085,19380,7500,1028,10766,2197,0
252,9098,19408,7536,1038,10896,2202,0
253,9114,19613,7644,1046,10976,2207,0
254,9125,19661,7742,1054,11050,2211,0
255,9138,19702,7781,1062,11131,2215,0
256,9149,19760,7823,1070,11207,2219,0
257,9165,19972,7911,1074,11269,2223,0
258,9174,20032,7988,1078,11329,2226,0
259,9185,20095,8018,1082,11384,2229,0
260,9198,20157,8060,1086,11440,2232,0
261,9207,20391,8113,1087,11470,2237,0
262,9213,20498,8156,1088,11496,2239,0
263,9222,20590,8175,1089,11529,2241,0
264,9228,20684,8193,1090,11558,2243,0
265,9241,20943,8217,1090,11562,2248,0
266,9253,21041,8250,1090,11562,2248,0
267,9262,21156,8270,1090,11562,2248,0
268,9288,21272,8283,1090,11562,2248,0
269,9303,21418,8298,1090,11562,2248,0
270,9315,21558,8310,1090,11562,2248,0
271,9333,21705,8319,1090,11562,2248,0
272,9343,21847,8333,1090,11562,2248,0
273,9357,22008,8342,1090,11562,2248,0
274,9377,22150,8354,1090,11562,2248,0
275,9396,22295,8363,1090,11562,2248,0
276,9409,22446,8374,1090,11562,2248,0
277,9423,22594,8381,1090,11562,2248,0
278,9431,22746,8392,1090,11562,2248,0
279,9446,22883,8396,1090,11562,2248,0
280,9459,22978,8402,1090,11562,2248,0
281,9476,23103,8410,1090,11562,2248,0
282,9490,23194,8419,1090,11562,2248,0
283,9503,23295,8426,1090,11562,2248,0
284,9515,23394,8430,1090,11562,2248,0
285,9524,23481,8437,1090,11562,2248,0
286,9541,23555,8442,1090,11562,2248,0
287,9546,23626,8446,1090,11562,2248,0
288,9554,23698,8452,1090,11562,2248,0
289,9562,23756,8456,1090,11562,2248,0
290,9562,23756,8460,1090,11562,2248,0
291,9562,23756,8462,1090,11562,2248,0
292,9562,23756,8463,1090,11562,2248,0
293,9562,23756,8464,1090,11562,2248,0
294,9562,23756,8464,1090,11562,2248,0
295,9562,23756,8464,1090,11562,2248,0
296,9562,23756,8464,1090,11562,2248,0
297,9562,23756,8465,1090,11562,2248,0
298,9562,23756,8465,1090,11562,2248,0
299,9562,23756,8465,1090,11562,2248,0
300,9562,23756,8465,1090,11562,2248,0
301,9562,23756,8465,1090,11562,2248,0
302,9562,23756,8465,1090,11562,2248,0
303,9562,23756,8465,1090,11562,2248,0
304,9562,23756,8465,1090,11562,2248,0
305,9562,23756,8465,1090,11562,2248,0
306,9562,23756,8465,1090,11562,2248,0
307,9562,23756,8465,1090,11562,2248,0
308,9562,23756,8465,1090,11562,2248,0
309,9562,23756,8465,1090,11562,2248,0
310,9562,23756,8465,1090,11562,2248,0
311,9562,23756,8465,1090,11562,2248,0
312,9562,23756,8465,1090,11562,2248,0
313,9562,23756,8465,1090,11562,2248,0
314,9562,23756,8465,1090,11562,2248,0
315,9562,23756,8465,1090,11562,2248,0
316,9562,23756,8465,1090,11562,2248,0
317,9562,23756,8486,1090,11600,2249,0
318,9562,23756,8513,1090,11647,2250,0
319,9562,23756,8533,1090,11690,2251,0
320,9562,23756,8559,1090,11734,2252,0
321,9562,23756,8594,1090,11793,2254,0
322,9562,23756,8638,1090,11872,2256,0
323,9562,23756,8675,1090,11932,2258,0
324,9562,23756,8711,1090,11997,2260,0
325,9562,23756,8761,1090,12080,2263,0
326,9562,23756,8812,1090,12188,2266,0
327,9562,23756,8857,1090,12276,2268,0
328,9562,23756,8896,1090,12365,2272,0
329,9562,23756,8945,1090,12480,2277,0
330,9562,23756,9000,1090,12612,2282,0
331,9562,23756,9035,1090,12730,2287,0
332,9562,23756,9073,1090,12858,2291,0
333,9562,23756,9103,1090,12977,2297,0
334,9562,23756,9134,1090,13091,2301,0
335,9562,23756,9155,1090,13216,2306,0
336,9562,23756,9166,1090,13342,2310,0
337,9563,23756,9180,1090,13458,2314,0
338,9564,23756,9189,1090,13583,2318,0
339,9564,23756,9197,1090,13708,2322,0
340,9564,23756,9207,1090,13841,2326,0
341,9564,23756,9212,1090,13959,2330,0
342,9564,23756,9215,1090,14081,2334,0
343,9564,23756,9217,1090,14198,2338,0
344,9564,23756,9217,1090,14321,2342,0
345,9565,23756,9218,1090,14439,2346,0
346,9565,23756,9218,1090,14568,2350,0
347,9565,23756,9218,1090,14689,2354,0
348,9565,23756,9218,1090,14807,2358,0
349,9565,23756,9218,1090,14909,2366,0
350,9565,23756,9218,1090,14977,2369,0
351,9565,23756,9218,1090,15056,2372,0
352,9565,23756,9218,1090,15134,2375,0
353,9565,23756,9218,1090,15202,2382,0
354,9565,23756,9218,1090,15257,2384,0
355,9565,23756,9218,1090,15310,2386,0
356,9565,23756,9218,1090,15370,2388,0
357,9565,23756,9219,1090,15403,2401,0
358,9565,23756,9219,1090,15433,2403,0
359,9565,23756,9219,1090,15462,2405,0
360,9565,23756,9219,1090,15489,2407,0
361,9565,23756,9219,1090,15497,2408,0
362,9565,23756,9219,1090,15498,2408,0
363,9565,23756,9219,1090,15498,2408,0
364,9565,23756,9219,1090,15498,2408,0
365,9565,23756,9219,1090,15498,2408,0
366,9565,23756,9219,1090,15498,2408,0
367,9565,23756,9219,1090,15498,2408,0
368,9565,23756,9219,1090,15498,2408,0
369,9565,23756,9219,1090,15498,2408,0
370,9565,23756,9219,1090,15498,2408,0
371,9565,23756,9219,1090,15498,2408,0
372,9565,23756,9219,1090,15498,2408,0
373,9565,23756,9219,1090,15498,2408,0
374,9565,23756,9219,1090,15498,2408,0
375,9565,23756,9219,1090,15498,2408,0
376,9565,23756,9219,1090,15498,2408,0
377,9565,23756,9219,1090,15498,2408,0
378,9565,23756,9219,1090,15498,2408,0
379,9565,23756,9219,1090,15498,2408,0
380,9565,23756,9219,1090,15498,2408,0
381,9565,23756,9219,1090,15498,2408,0
382,9565,23756,9219,1090,15498,2408,0
383,9565,23756,9219,1090,15498,2408,0
384,9565,23756,9219,1090,15498,2408,0
385,9565,23756,9219,1090,15590,2413,0
386,9565,23756,9219,1090,15713,2417,0
387,9565,23756,9219,1090,15839,2422,0
388,9565,23756,9219,1090,15966,2427,0
389,9565,23756,9219,1090,16092,2432,0
390,9565,23756,9219,1090,16207,2436,0
391,9565,23756,9219,1090,16330,2440,0
392,9565,23758,9219,1090,16448,2444,0
393,9565,23760,9220,1090,16578,2448,0
394,9565,23762,9221,1090,16687,2452,0
395,9565,23762,9223,1090,16821,2456,0
396,9565,23766,9223,1090,16943,2460,0
397,9565,23768,9227,1090,17064,2464,0
398,9565,23768,9229,1090,17190,2468,0
399,9565,23772,9229,1090,17311,2472,0
400,9565,23774,9232,1090,17428,2476,0
401,9565,23774,9233,1090,17551,2480,0
402,9565,23779,9233,1090,17681,2484,0
403,9565,23782,9236,1090,17795,2487,0
404,9565,23787,9237,1090,17919,2492,0
405,9565,23790,9240,1090,18042,2496,0
406,9565,23792,9243,1090,18164,2500,0
407,9566,23794,9245,1090,18286,2504,0
408,9566,23799,9246,1090,18414,2508,0
409,9566,23807,9249,1090,18536,2512,0
410,9566,23814,9253,1090,18660,2516,0
