,Food,Health,Amusement,Basic Goods,Funds
242,55.4994,44.562,-19.0538,-159.4134,484.1774
243,54.4116,46.19,-19.5586,-160.5668,481.5978
244,53.3564,47.274,-20.0598,-161.6966,479.2278
245,52.4196,48.368,-20.5326,-162.7212,476.7472
246,51.1418,49.268,-21.0088,-164.0332,474.7068
247,49.9346,50.058,-21.5084,-165.133,472.5136
248,48.8458,50.7,-22.004,-166.3572,470.2116
249,47.6732,51.364,-22.5086,-167.6068,468.0636
250,46.634,52.32,-22.9762,-168.8398,465.7222
251,45.6798,52.748,-23.4562,-169.9548,463.52
252,44.7996,53.312,-23.9498,-171.2432,461.1462
253,47.8132,54.754,-24.416,-172.522,456.888
254,47.086,56.384,-24.8718,-173.918,454.5326
255,46.371,56.582,-25.3268,-175.4714,452.7582
256,45.9582,56.926,-25.7776,-176.8442,450.7274
257,48.6998,57.55,-26.2148,-178.466,447.2598
258,48.3408,58.528,-26.6082,-180.198,445.1194
259,47.7452,58.576,-27.0238,-181.9496,443.4694
260,47.7376,58.374,-27.4592,-183.5204,441.5786
261,50.4112,58.942,-27.9174,-185.1928,438.183
262,50.6184,59.074,-28.3652,-187.244,436.2292
263,50.6588,58.66,-28.8034,-189.2908,434.819
264,50.6618,58.204,-29.2624,-191.2714,433.2542
265,55.0536,57.84,-29.7428,-193.2334,429.64
266,55.8424,57.388,-30.225,-195.5614,427.7998
267,56.6286,56.832,-30.7194,-197.8208,425.984
268,56.9,56.18,-31.2258,-199.9388,424.3836
269,57.6066,55.546,-31.7216,-202.1722,422.5918
270,58.5938,54.876,-32.219,-204.366,420.537
271,59.3656,54.206,-32.7108,-206.5938,418.6154
272,60.065,53.426,-33.214,-208.812,416.9428
273,60.7434,52.618,-33.7202,-211.0222,415.273
274,61.7626,51.808,-34.214,-213.1666,413.2674
275,62.5452,50.918,-34.7108,-215.5356,411.5062
276,63.2082,50.068,-35.2062,-217.7616,409.9114
277,63.885,49.22,-35.7142,-220.1184,408.2652
278,64.6154,48.32,-36.206,-222.2788,406.6392
279,65.2006,47.38,-36.7116,-224.442,405.025
280,65.4586,46.46,-37.2278,-226.6142,403.686
281,65.5986,45.536,-37.7228,-228.6968,402.4554
282,65.8804,44.542,-38.233,-230.975,401.1536
283,65.7494,43.716,-38.7368,-233.2736,400.1196
284,65.7762,42.816,-39.2378,-235.5928,398.9344
285,65.5522,41.85,-39.7356,-237.9646,397.9922
286,65.2082,40.874,-40.2278,-240.2534,397.0358
287,64.9132,39.876,-40.7152,-242.5588,396.1034
288,64.46,38.962,-41.2224,-244.8346,395.1588
289,64.0784,38.048,-41.7288,-247.2166,394.3014
290,62.5862,37.078,-42.2332,-249.7052,394.3014
291,61.0816,36.118,-42.7348,-252.1942,394.2754
292,59.5492,35.244,-43.2182,-254.719,394.2624
293,58.0344,34.314,-43.7242,-257.2062,394.2494
294,56.5296,33.328,-44.2092,-259.7208,394.2494
295,55.0434,32.374,-44.7036,-262.264,394.2234
296,53.5814,31.382,-45.2136,-264.795,394.2234
297,52.0746,30.46,-45.7062,-267.2992,394.2234
298,50.594,29.462,-46.2122,-269.7788,394.2234
299,49.1124,28.514,-46.6904,-272.2518,394.2234
300,47.5772,27.608,-47.183,-274.7482,394.2104
301,46.0868,26.604,-47.682,-277.2586,394.2104
302,44.5744,25.656,-48.1786,-279.7736,394.2104
303,43.0584,24.632,-48.6908,-282.2708,394.2104
304,41.5694,23.664,-49.1884,-284.7574,394.2104
305,40.0542,22.702,-49.6878,-287.2806,394.2104
306,38.5398,21.732,-50.1834,-289.7466,394.2104
307,37.0378,20.672,-50.6808,-292.2296,394.2104
308,35.571,19.734,-51.1894,-294.7732,394.2104
309,34.0706,18.716,-51.6864,-297.2802,394.2104
310,32.5856,17.712,-52.1864,-299.812,394.2104
311,31.0842,16.754,-52.6888,-302.3588,394.2104
312,29.595,15.742,-53.192,-304.848,394.2104
313,28.109,14.72,-53.6894,-307.2978,394.2104
314,26.6358,13.732,-54.1822,-309.7746,394.2104
315,25.1264,12.69,-54.6848,-312.3134,394.2104
316,23.635,11.628,-55.1916,-314.7938,394.2104
317,22.171,11.652,-55.703,-317.1202,393.6768
318,20.6482,11.59,-56.21,-319.4404,393.0664
319,19.1332,11.684,-56.709,-321.7934,392.409
320,17.621,11.592,-57.198,-324.1586,391.8396
321,16.0964,12.536,-57.7686,-326.3458,390.7366
322,14.604,13.588,-58.3272,-328.54,389.5426
323,13.0874,14.39,-58.8962,-330.7628,388.3694
324,11.5812,15.168,-59.4538,-332.9082,387.3396
325,10.1164,16.198,-60.0744,-334.9252,385.9656
326,8.6306,17.876,-60.6852,-336.9914,384.4246
327,7.1002,19.048,-61.3084,-339.0586,382.9408
328,5.602,20.308,-61.9206,-341.1122,381.5186
329,4.102,21.512,-62.598,-343.02,379.9876
330,2.5978,23.04,-63.2796,-344.9014,378.3164
331,1.0912,24.23,-63.9582,-346.8524,376.6756
332,-0.4328,25.256,-64.6392,-348.724,375.1658
333,-1.9284,26.052,-65.3774,-350.649,373.737
334,-3.4132,26.606,-66.1176,-352.565,372.4394
335,-4.9054,26.812,-66.8644,-354.5062,371.2308
336,-6.4172,27.36,-67.6038,-356.4244,369.8022
337,-7.9058,27.708,-68.3344,-358.3308,368.4722
338,-9.3922,28.184,-69.0682,-360.226,367.0958
339,-10.9024,28.544,-69.7978,-362.1658,365.824
