,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
306,517361,1267013,455374,69967,537311,130310,0
307,517361,1267013,455374,69967,537311,130310,0
308,517361,1267013,455374,69967,537311,130310,0
309,517361,1267013,455374,69967,537311,130310,0
310,517361,1267013,455374,69967,537311,130310,0
311,517361,1267013,455374,69967,537311,130310,0
312,517361,1267013,455374,69967,537311,130310,0
313,517361,1267013,455374,69967,537311,130310,0
314,517361,1267013,455374,69967,537311,130310,0
315,517361,1267013,455374,69967,537311,130310,0
316,517361,1267013,455374,69967,537311,130310,0
317,517361,1267013,456339,69967,538701,130379,0
318,517361,1267013,457546,69967,540115,130448,0
319,517361,1267013,458470,69967,541434,130517,0
320,517361,1267013,459689,69967,543082,130586,0
321,517361,1267013,461590,69967,545758,130655,0
322,517361,1267013,463695,69967,548967,130724,0
323,517361,1267013,465668,69967,551557,130793,0
324,517361,1267013,467422,69967,554457,130862,0
325,517361,1267013,469847,69967,558513,131017,0
326,517361,1267013,472440,69967,562673,131172,0
327,517361,1267013,475236,69967,566959,131327,0
328,517361,1267013,477563,69967,570960,131482,0
329,517361,1267013,480696,69967,576655,131674,0
330,517361,1267013,483647,69967,581667,131952,0
331,517361,1267013,485959,69967,587083,132144,0
332,517361,1267013,488335,69967,592958,132422,0
333,517361,1267013,489662,69967,598524,132657,0
334,517361,1267013,490724,69967,603752,132892,0
335,517361,1267013,491425,69967,609253,133127,0
336,517361,1267013,491894,69967,614864,133362,0
337,517361,1267013,492341,69967,620478,133597,0
338,517447,1267013,492751,69967,625594,133832,0
339,517447,1267013,493115,69967,631482,134067,0
340,517447,1267013,493250,69967,636967,134302,0
341,517475,1267013,493300,69967,642448,134537,0
342,517475,1267013,493300,69967,647626,134772,0
343,517504,1267013,493325,69967,653347,135007,0
344,517504,1267013,493325,69967,659187,135242,0
345,517504,1267013,493325,69967,664566,135477,0
346,517504,1267013,493325,69967,669926,135712,0
347,517504,1267013,493325,69967,675392,135947,0
348,517504,1267013,493325,69967,680927,136182,0
349,517543,1267013,493325,69967,685154,136348,0
350,517543,1267013,493325,69967,688979,136514,0
351,517543,1267013,493325,69967,693533,136680,0
352,517543,1267013,493325,69967,697454,136846,0
353,517543,1267013,493325,69967,700338,137012,0
354,517543,1267013,493325,69967,702823,137135,0
355,517543,1267013,493325,69967,704859,137344,0
356,517543,1267013,493325,69967,707913,137467,0
357,517543,1267013,493325,69967,709368,137590,0
358,517543,1267013,493325,69967,710742,137670,0
359,517543,1267013,493325,69967,712145,137707,0
360,517543,1267013,493325,69967,713334,137787,0
361,517543,1267013,493325,69967,713503,137830,0
362,517543,1267013,493325,69967,713503,137830,0
363,517543,1267013,493325,69967,713503,137830,0
364,517543,1267013,493325,69967,713503,137830,0
