service_id,date,exception_type
1.5.H1400,20210215,1
1.5.H1400,20210216,1
1.5.H1400,20210217,1
1.5.H1400,20210218,1
1.5.H1319,20210219,1
1.5.H1303,20210220,1
1.5.H1302,20210221,1
1.5.H1400,20210222,1
1.5.H1400,20210223,1
1.5.H1400,20210224,1
1.5.H1400,20210225,1
1.5.H1319,20210226,1
1.5.H1303,20210227,1
1.5.H1302,20210228,1
1.5.H1400,20210301,1
1.5.H1400,20210302,1
1.5.H1400,20210303,1
1.5.H1400,20210304,1
1.5.H1319,20210305,1
1.5.H1303,20210306,1
1.5.H1302,20210307,1
1.5.H1400,20210308,1
1.5.H1400,20210309,1
1.5.H1400,20210310,1
1.5.H1400,20210311,1
1.5.H1319,20210312,1
1.5.H1303,20210313,1
1.5.H1302,20210314,1
1.5.H1400,20210315,1
1.5.H1400,20210316,1
1.5.H1400,20210317,1
1.5.H1400,20210318,1
1.5.H1319,20210319,1
1.5.H1303,20210320,1
1.5.H1302,20210321,1
1.5.H1400,20210322,1
