,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
570,585828,1740046,668949,107393,1791364,162805,0
571,586185,1741551,669758,107393,1795172,162805,0
572,586685,1742074,670728,107489,1797867,162805,0
573,586930,1743204,671543,107521,1799796,162805,0
574,587181,1743963,672243,107649,1801610,162805,0
575,587522,1744956,673085,107713,1802692,162805,0
576,588018,1745470,673711,107713,1803650,162805,0
577,588365,1746322,674696,107777,1804015,162805,0
578,588652,1747030,675578,107777,1804327,162805,0
579,589302,1747730,676364,107809,1804639,162805,0
580,589844,1748479,677179,107873,1804951,162805,0
581,590276,1748937,678095,107969,1805263,162805,0
582,590683,1749619,679085,108001,1805575,162805,0
583,590920,1750226,679709,108097,1805887,162805,0
584,591427,1751167,680229,108129,1806121,162805,0
585,592043,1751700,680863,108161,1806121,162805,0
586,592564,1752048,681675,108225,1806121,162805,0
587,592928,1752499,682462,108257,1806121,162805,0
588,593362,1753578,682847,108257,1806121,162805,0
589,593898,1754717,683890,108257,1806121,162805,0
590,594428,1755568,684596,108257,1806121,162805,0
591,594844,1757158,685527,108289,1806121,162805,0
592,595387,1758284,686238,108289,1806121,162805,0
593,595528,1759647,687243,108321,1806121,162805,0
594,595791,1761902,688330,108321,1806121,162805,0
595,595910,1763677,689098,108353,1806121,162805,0
596,596128,1764975,690097,108353,1806121,162805,0
597,596426,1767151,690638,108353,1806121,162805,0
598,596760,1769939,691245,108353,1806121,162805,0
599,596970,1771804,692126,108353,1806121,162805,0
600,597104,1774493,692954,108353,1806121,162805,0
601,597194,1777449,693689,108353,1806121,162805,0
602,597407,1780073,694696,108353,1806121,162805,0
603,597533,1781928,695789,108353,1806121,162805,0
604,597674,1784574,696846,108353,1806121,162805,0
605,597878,1786861,697639,108367,1806441,162805,0
606,598049,1789330,698228,108381,1806925,162805,0
607,598407,1791534,699071,108395,1807619,162805,0
608,598575,1793620,699631,108409,1808448,162805,0
609,598690,1795268,700149,108673,1809295,162821,0
610,598903,1796926,700579,108873,1810628,162837,0
611,599473,1798203,701084,109137,1812205,162853,0
612,599757,1800423,701354,109337,1814272,162869,0
613,599856,1801264,702246,109672,1815790,162897,0
614,600173,1802783,702762,109923,1817345,162909,0
615,600797,1803628,703574,110124,1819404,162953,0
616,601234,1804620,704366,110485,1821325,162981,0
617,601380,1805404,704696,110884,1823023,163099,0
618,601720,1805987,705312,111193,1824764,163217,0
619,602140,1806328,705687,111618,1826366,163335,0
620,602467,1806852,706088,111959,1828295,163453,0
621,602823,1807205,706439,112378,1828613,163571,0
622,603274,1807627,706812,112783,1828984,163689,0
623,603717,1807854,707174,113129,1829295,163807,0
624,604042,1808215,707530,113581,1829591,163925,0
625,604436,1808580,707873,113948,1829899,164043,0
626,604803,1809039,708186,114315,1830192,164161,0
627,605434,1809266,708497,114624,1830407,164279,0
628,605622,1809627,708714,115081,1830726,164397,0
629,605993,1809886,708862,115307,1831044,164515,0
630,606276,1810242,709305,115635,1831367,164633,0
631,606680,1810597,709636,116002,1831748,164751,0
632,606938,1810972,710026,116369,1831989,164869,0
633,607223,1811337,710226,116722,1832313,164987,0
634,607542,1811632,710565,117052,1832688,165105,0
635,607784,1812075,710943,117380,1833063,165211,0
636,608051,1812327,711046,117592,1833304,165341,0
637,608363,1819554,714872,118402,1836945,165443,0
638,609015,1820293,718051,118755,1839466,165577,0
639,609383,1820750,718563,119082,1841186,165695,0
640,609563,1821292,718838,119525,1842626,165813,0
