,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($),,,,,,
230,435465,831870,313375,40099,441066,110907,0,,,,,,
231,435829,831870,315364,40099,446006,111124,0,,,,,,
232,435880,831870,317149,40099,450517,111311,0,,,,,,
233,435914,831870,318950,40099,456372,111593,0,,,,,,
234,435931,831870,320634,40099,462643,111869,0,,,,,,
235,435961,831870,321611,40099,468325,112148,0,,,,,,
236,435982,831870,322184,40099,474939,112427,0,,,,,,
237,435982,831870,322505,40099,481176,112676,0,,,,,,
238,435982,831870,322952,40099,487034,112925,0,,,,,,
239,436021,831870,323153,40099,492932,113174,0,,,,,,
240,436058,831870,323298,40099,499158,113423,0,,,,,,
241,436058,831870,323419,40099,505897,113672,0,,,,,,
242,436058,831870,323506,40099,511285,113921,0,,,,,,
243,436118,831870,323506,40099,517863,114170,0,,,,,,
244,436118,831870,323506,40099,523407,114419,0,,,,,,
245,436118,831870,323506,40099,529858,114668,0,,,,,,
246,436118,831870,323640,40099,536032,114917,0,,,,,,
247,436118,831870,323640,40099,542015,115166,0,,,,,,
248,436118,831916,323640,40099,547887,115415,0,,,,,,
249,436118,831916,323640,40099,554595,115664,0,,,,,,
250,436118,832087,323640,40099,560528,115913,0,,,,,,
251,436118,832166,323717,40099,566649,116162,0,,,,,,
252,436118,832337,323717,40099,572400,116411,0,,,,,,
253,436118,832462,323740,40099,577043,116753,0,,,,,,
254,436118,832738,323751,40099,581056,116975,0,,,,,,
255,436127,833013,323815,40099,585394,117197,0,,,,,,
256,436127,833288,324010,40099,588881,117419,0,,,,,,
257,436127,833567,324092,40099,592228,117670,0,,,,,,
258,436127,833823,324121,40099,595140,117861,0,,,,,,
259,436180,834071,324455,40099,598436,118052,0,,,,,,
260,436262,834578,324528,40099,601684,118243,0,,,,,,
261,436262,834879,324671,40099,603460,118425,0,,,,,,
262,436262,835253,324827,40099,605091,118487,0,,,,,,
263,436262,835432,325099,40099,606833,118549,0,,,,,,
264,436262,836029,325184,40099,608387,118611,0,,,,,,
265,436262,836287,325356,40099,608531,118761,0,,,,,,
266,436347,836287,325356,40099,608531,118761,0,,,,,,
267,436347,836287,325356,40099,608531,118761,0,,,,,,
268,436347,836287,325356,40099,608531,118761,0,,,,,,
269,436347,836287,325356,40099,608531,118761,0,,,,,,
270,436347,836287,325356,40099,608531,118761,0,,,,,,
271,436347,836287,325386,40099,608531,118761,0,,,,,,
272,436347,836287,325386,40099,608531,118761,0,,,,,,
273,436347,836287,325444,40099,608531,118761,0,,,,,,
274,436347,836287,325444,40099,608531,118761,0,,,,,,
275,436347,836287,325547,40099,608531,118761,0,,,,,,
276,436347,836287,325608,40099,608531,118761,0,,,,,,
277,436347,836287,325608,40099,608531,118761,0,,,,,,
278,436347,836287,325663,40099,608531,118761,0,,,,,,
279,436347,836287,325663,40099,608531,118761,0,,,,,,
280,436347,836287,325663,40099,608531,118761,0,,,,,,
281,436347,836287,325663,40099,608531,118761,0,,,,,,
282,436347,836287,325663,40099,608531,118761,0,,,,,,
283,436347,836287,325707,40099,608531,118761,0,,,,,,
284,436347,836287,325707,40099,608531,118761,0,,,,,,
285,436347,836287,325707,40099,608531,118761,0,,,,,,
286,436347,836287,325745,40099,608531,118761,0,,,,,,
287,436347,836287,325872,40099,608531,118761,0,,,,,,
288,436347,836287,325942,40099,608531,118761,0,,,,,,
289,436347,836287,325942,40099,608531,118761,0,,,,,,
290,436347,836287,325942,40099,608531,118761,0,,,,,,
291,436356,836287,326075,40099,608531,118761,0,,,,,,
292,436356,836287,326096,40099,608531,118761,0,,,,,,
293,436356,836287,326096,40099,608531,118761,0,,,,,,
294,436366,836287,326140,40099,608531,118761,0,,,,,,
295,436366,836287,326240,40099,608531,118761,0,,,,,,
296,436451,836287,326330,40099,608531,118761,0,,,,,,
297,436451,836287,326330,40099,608531,118761,0,,,,,,
298,436451,836287,326439,40099,608531,118761,0,,,,,,
299,436451,836287,326456,40099,608531,118761,0,,,,,,
300,436533,836287,326719,40099,608531,118761,0,,,,,,
301,436533,836287,326719,40099,608531,118761,0,,,,,,
302,436533,836287,326899,40099,608531,118761,0,,,,,,
303,436533,836287,327112,40099,608531,118761,0,,,,,,
304,436533,836287,327112,40099,608531,118761,0,,,,,,
305,436533,836287,327246,40099,608531,118761,0,,,,,,
306,436533,836287,327306,40099,608531,118761,0,,,,,,
307,436533,836287,327306,40099,608531,118761,0,,,,,,
308,436533,836287,327306,40099,608531,118761,0,,,,,,
309,436533,836287,327527,40099,608531,118761,0,,,,,,
310,436533,836287,327527,40099,608531,118761,0,,,,,,
311,436533,836287,327588,40099,608531,118761,0,,,,,,
312,436533,836287,327588,40099,608531,118761,0,,,,,,
313,436533,836287,327588,40099,608531,118761,0,,,,,,
