,Construct,Industrial,Food,RealState,Catering,Commerce,Transport,Hotel,PublicAdmin,Education,Health,SocialServ,ProfessActiv,ScientifActiv,RecreatActiv,ArtistActiv,FinanActiv,Other,Information
240,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20538,0,4320,0,38939,0
241,0,0,0,81430,0,0,0,0,0,25223,0,32580,323479,20717,0,4320,0,38939,0
242,0,0,0,81541,0,0,0,0,0,25223,0,32580,323479,20924,0,4320,0,38939,0
243,0,0,0,81652,0,0,0,0,0,25223,0,32580,323479,21355,0,4320,0,38939,0
244,0,0,0,81763,0,0,0,0,0,25223,0,32580,323479,22112,0,4320,0,38939,0
245,0,0,0,81874,0,0,0,0,0,25223,0,32580,323479,23266,0,4320,0,38939,0
246,0,0,0,81985,0,0,0,0,0,25223,0,32580,323479,24922,0,4320,0,38939,0
247,0,0,0,82096,0,0,0,0,0,25223,0,32580,323479,27189,0,4320,0,38939,0
248,0,0,0,82207,0,0,0,0,0,25223,0,32580,323479,30176,0,4320,0,38939,0
249,0,0,0,82339,0,0,0,0,0,25223,0,32580,323479,33679,0,4320,0,38939,0
250,0,0,0,82471,0,0,0,0,0,25223,0,32580,323479,37403,0,4320,0,38939,0
251,0,0,0,82603,0,0,0,0,0,25223,0,32580,323479,41418,0,4320,0,38939,0
252,0,0,0,82697,0,0,0,0,0,25223,0,32580,323479,45520,0,4320,0,38939,0
253,0,0,0,82735,0,0,0,0,0,25223,0,32580,323479,48775,0,4320,0,38939,0
254,0,0,0,82773,0,0,0,0,0,25223,0,32580,323479,51963,0,4320,0,38939,0
255,0,0,0,82811,0,0,0,0,0,25223,0,32580,323479,55273,0,4320,0,38939,0
256,0,0,0,82849,0,0,0,0,0,25223,0,32580,323479,58663,0,4320,0,38939,0
257,0,0,0,82887,0,0,0,0,0,25223,0,32580,323479,60742,0,4320,0,38939,0
258,0,0,0,82925,0,0,0,0,0,25223,0,32580,323479,62821,0,4320,0,38939,0
259,0,0,0,82963,0,0,0,0,0,25223,0,32580,323479,65016,0,4320,0,38939,0
260,0,0,0,83001,0,0,0,0,0,25223,0,32580,323479,67131,0,4320,0,38939,0
261,0,0,0,83039,0,0,0,0,0,25223,0,32580,323479,68084,0,4320,0,38939,0
262,0,0,0,83077,0,0,0,0,0,25223,0,32580,323479,68966,0,4320,0,38939,0
263,0,0,0,83115,0,0,0,0,0,25223,0,32580,323479,69830,0,4320,0,38939,0
264,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
265,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
266,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
267,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
268,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
269,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
270,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
271,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
272,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
273,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
274,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
275,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
276,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
277,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
278,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
279,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
280,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
281,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
282,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
283,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
284,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
285,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
286,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
287,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
288,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
289,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
290,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
291,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
292,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
293,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
294,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
295,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
296,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
297,0,0,0,83153,0,0,0,0,0,25223,0,32580,323479,70707,0,4320,0,38939,0
